,Primary.Outcome,District,Brookings Candidate,Female,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,total_runners_brookings,General Status,District Abbrev,House Candidate,Partisan Lean,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners_house
0,0,AL-1,lizetta mcconnell,1.0,"No, the candidate does not include any information about serving in the military",Other,Married,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,0.0,AL-1,lizzetta hill mcconnell,-30.68,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,2
1,1,AL-1,robert kennedy,0.0,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,1.0,AL-1,robert kennedy jr.,-30.68,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,2
2,0,AL-2,audri williams,1.0,"Yes, the candidate serves or served in the military",No Education Information Listed,Other,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",2,0.0,AL-2,audri scott williams,-33.080002,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,2
3,1,AL-2,tabitha isner,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",2,1.0,AL-2,tabitha isner,-33.080002,White,No,No,No,No,No,No,,,,,,,,,,,,,,2
4,0,AL-3,adia winfrey,1.0,"No, the candidate does not include any information about serving in the military",Psy.D.,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,0.0,AL-3,adia mcclellan winfrey,-33.66,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,2
5,1,AL-3,mallory hagan,1.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,1.0,AL-3,mallory hagan,-33.66,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,2
6,0,AL-4,rick neighbors,0.0,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,0.0,AL-4,rick neighbors,-62.48,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,2
7,1,AL-4,lee auman,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides no information,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,1.0,AL-4,lee auman,-62.48,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,2
8,0,AR-2,paul spencer,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides complicated/complex/unclear position,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,AR-2,paul spencer,-13.51,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,4
9,0,AR-2,jonathan dunkley,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,AR-2,jonathan dunkley,-13.51,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,4
10,0,AR-2,gwen combs,1.0,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,4,0.0,AR-2,gwen combs,-13.51,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,4
11,1,AR-2,clarke tucker,0.0,"No, the candidate does not include any information about serving in the military",J.D.,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,4,1.0,AR-2,clarke tucker,-13.51,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,4
12,0,CA-1,jessica holcombe,1.0,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,CA-1,jessica holcombe,-21.379999,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,4
13,0,CA-1,marty walters,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Single,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,CA-1,marty walters,-21.379999,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,,4
14,0,CA-1,david peterson,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,4,0.0,CA-1,david peterson,-21.379999,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,4
15,1,CA-1,audrey denney,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,1.0,CA-1,audrey denney,-21.379999,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,4
16,0,CA-4,regina bateson,1.0,"No, the candidate does not include any information about serving in the military",Ph.D.,Married,,Candidate explicitly supports ACA,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides complicated/complex/unclear position,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides complicated/complex/unclear position,Candidate notes Russia as political enemy of the United States,Establishment Democrat,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,,4,0.0,CA-4,regina bateson,-18.16,White,No,No,No,No,No,No,,,Yes,,,,No,No,,No,,,,4
17,0,CA-4,robert lawton,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,CA-4,robert lawton,-18.16,White,No,No,No,No,No,No,,,No,,,,No,No,,No,,,,4
18,0,CA-4,roza calderon,1.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Single,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,CA-4,roza calderon,-18.16,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,,,,4
19,1,CA-4,jessica morse,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate explicitly supports ACA,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports status quo efforts to combat terrorism,Candidate provides complicated/complex/unclear position,Progressive Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,,4,1.0,CA-4,jessica morse,-18.16,White,No,No,No,No,No,No,,,Yes,,,,No,No,,Yes,,,,4
20,0,CA-8,marjorie doyle,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports status quo efforts to combat terrorism,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",3,0.0,CA-8,marge doyle,-17.33,White,No,Yes,No,No,Yes,No,,,,,,,,,,,,,,3
21,0,CA-8,ronald odonnell,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,3,0.0,CA-8,ronald o'donnell,-17.33,White,No,No,No,No,No,No,,,,,,,,,,,,,,3
22,0,CA-8,rita ramirez,1.0,"No, the candidate does not include any information about serving in the military",Ph.D.,No information,Candidate mentions previous elected office experience,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,3,0.0,CA-8,rita ramirez,-17.33,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,3
23,0,CA-10,michael barkley,0.0,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,POSITIVE MENTION,POSITIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,CA-10,mike barkley,0.62,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,,6
24,0,CA-10,sue zwhalen,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,CA-10,sue zwahlen,0.62,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,,6
25,0,CA-10,dotty nygard,1.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,,6,0.0,CA-10,dotty nygard,0.62,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,6
26,0,CA-10,virgina madueno,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,CA-10,virginia madueno,0.62,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,,6
27,0,CA-10,michael eggman,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,CA-10,michael eggman,0.62,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,,6
28,1,CA-10,josh harder,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Engaged,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,1.0,CA-10,josh harder,0.62,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,6
29,0,CA-22,bobby bliatout,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",3,0.0,CA-22,bobby bliatout,-13.41,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,3
30,0,CA-22,ricardo franco,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",3,0.0,CA-22,ricardo franco,-13.41,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,3
